,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
36,Belarus_2022-08-09,Belarus,2022-08-09,16685,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
37,Poland_2022-08-08,Poland,2022-08-08,5247980,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
38,Russian Federation_2022-08-08,Russian Federation,2022-08-08,2063463,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
39,Hungary_2022-08-08,Hungary,2022-08-08,1131385,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
40,Slovakia_2022-08-08,Slovakia,2022-08-08,665796,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
41,Republic of Moldova_2022-08-03,Republic of Moldova,2022-08-03,558332,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
42,Belarus_2022-08-08,Belarus,2022-08-08,16685,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
43,Russian Federation_2022-08-02,Russian Federation,2022-08-02,1968127,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
44,Romania_2022-08-02,Romania,2022-08-02,964874,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
45,Republic of Moldova_2022-08-02,Republic of Moldova,2022-08-02,557166,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
46,Poland_2022-08-02,Poland,2022-08-02,5105850,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
47,Hungary_2022-08-02,Hungary,2022-08-02,1089277,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
48,Slovakia_2022-08-02,Slovakia,2022-08-02,648512,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
49,Republic of Moldova_2022-08-01,Republic of Moldova,2022-08-01,555903,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
50,Belarus_2022-08-02,Belarus,2022-08-02,16683,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
51,Poland_2022-08-01,Poland,2022-08-01,5084448,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
52,Russian Federation_2022-08-01,Russian Federation,2022-08-01,1952037,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
53,Hungary_2022-08-01,Hungary,2022-08-01,1082649,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
54,Romania_2022-07-31,Romania,2022-07-31,953086,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
55,Slovakia_2022-08-01,Slovakia,2022-08-01,645819,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
56,Republic of Moldova_2022-07-31,Republic of Moldova,2022-07-31,555318,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
57,Belarus_2022-08-01,Belarus,2022-08-01,16682,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
58,Poland_2022-07-26,Poland,2022-07-26,4944264,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
59,Russian Federation_2022-07-26,Russian Federation,2022-07-26,1857122,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
60,Hungary_2022-07-26,Hungary,2022-07-26,1041762,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
